HP:0002612	['HP:0001395']
HP:0001413	['HP:0001394']
HP:0002614	['HP:0002605']
HP:0001414	['HP:0001397']
DOID:1884	['DOID:2237', 'DOID:409']
DOID:5082	['DOID:409']
HP:0000857	['HP:0000831']
HP:0008150	['HP:0002910']
HP:0000877	['HP:0000831']
HP:0100752	['HP:0030146']
HP:0004448	['HP:0001410', 'HP:0006554', 'HP:0001399']
DOID:2237	['DOID:409']
HP:0200119	['HP:0012115']
DOID:1495	['DOID:1496']
HP:0001407	['HP:0006706']
HP:0006564	['HP:0002240']
HP:0001405	['HP:0001395']
HP:0001404	['HP:0002605']
HP:0001403	['HP:0001397']
HP:0001402	['HP:0002896']
HP:0006562	['HP:0012115']
DOID:12351	['DOID:2237', 'DOID:409']
HP:0001399	['HP:0001410']
HP:0006566	['HP:0002611']
HP:0006583	['HP:0001410', 'HP:0001399']
DOID:13133	['DOID:13129']
HP:0006575	['HP:0001406']
DOID:9245	['DOID:409']
DOID:899	['DOID:4138']
HP:0200084	['HP:0012115']
HP:0200148	['HP:0002910']
HP:0100626	['HP:0001410', 'HP:0001399']
DOID:900	['DOID:409']
HP:0012028	['HP:0002896']
DOID:2044	['DOID:2237', 'DOID:409']
HP:0006554	['HP:0001410', 'HP:0001399']
HP:0006555	['HP:0001397']
HP:0006557	['HP:0006706']
HP:0001412	['HP:0012115', 'HP:0006562']
HP:0200122	['HP:0012115']
HP:0006572	['HP:0012115', 'HP:0006562']
HP:0006573	['HP:0001397']
DOID:14018	['DOID:5082', 'DOID:409']
DOID:687	['DOID:3571']
HP:0005267	['HP:0001622']
HP:0010638	['HP:0010679']
HP:0010639	['HP:0010679']
HP:0200123	['HP:0012115']
DOID:12148	['DOID:1496']
