Label,Height
DOID:0050436,7
DOID:10211,6
DOID:10762,7
DOID:11512,7
DOID:11695,7
DOID:11755,9
DOID:12148,7
DOID:12215,8
DOID:12236,8
DOID:12237,7
DOID:12259,7
DOID:12351,8
DOID:12531,7
DOID:13129,9
DOID:13133,10
DOID:13603,9
DOID:13608,9
DOID:13619,9
DOID:14018,8
DOID:14268,9
DOID:14269,9
DOID:14271,9
DOID:1495,7
DOID:1496,6
DOID:1852,9
DOID:1884,8
DOID:2044,8
DOID:2211,7
DOID:2213,6
DOID:2215,7
DOID:2216,7
DOID:2217,7
DOID:2219,8
DOID:2222,7
DOID:2236,7
DOID:2237,7
DOID:2452,6
DOID:2828,10
DOID:3571,7
DOID:3756,7
DOID:409,6
DOID:4138,7
DOID:4607,7
DOID:5082,7
DOID:684,9
DOID:687,8
DOID:893,6
DOID:899,8
DOID:900,7
DOID:9245,7
DOID:9439,9
DOID:9452,7
DOID:9766,10
HP:0000831,2
HP:0000857,3
HP:0000877,3
HP:0001392,6
HP:0001394,8
HP:0001395,8
HP:0001397,10
HP:0001399,8
HP:0001402,3
HP:0001403,11
HP:0001404,9
HP:0001405,9
HP:0001406,9
HP:0001407,9
HP:0001410,7
HP:0001412,4
HP:0001413,9
HP:0001414,11
HP:0001433,3
HP:0001622,5
HP:0001623,6
HP:0001978,5
HP:0002240,6
HP:0002480,7
HP:0002605,8
HP:0002611,9
HP:0002612,9
HP:0002613,10
HP:0002614,9
HP:0002884,2
HP:0002896,2
HP:0002910,8
HP:0004448,10
HP:0004787,2
HP:0005100,5
HP:0005267,6
HP:0006554,9
HP:0006555,11
HP:0006557,9
HP:0006558,7
HP:0006559,5
HP:0006562,3
HP:0006564,3
HP:0006566,10
HP:0006568,9
HP:0006572,4
HP:0006573,11
HP:0006574,2
HP:0006575,10
HP:0006581,8
HP:0006583,9
HP:0006706,8
HP:0007985,2
HP:0008043,3
HP:0008150,9
HP:0010638,9
HP:0010639,9
HP:0010679,8
HP:0011410,6
HP:0012028,3
HP:0012113,7
HP:0012115,7
HP:0012280,5
HP:0012334,9
HP:0012465,3
HP:0030146,8
HP:0030369,6
HP:0045061,7
HP:0100523,7
HP:0100626,9
HP:0100752,9
HP:0200084,3
HP:0200119,3
HP:0200122,3
HP:0200123,3
HP:0200148,9
